股票代码,预测收益率前25%,预测收益率不是前25%,实际收益率,,
index,top_ratio_code,tail_ratio_code,profit,错分数：185 +8 = 193,
601985,0.11,0,-0.089969943,,
601111,0.1,0,0.31009927,,
603615,0.1,0,-0.257840159,,
2419,0.09,0,0.314118083,,
2581,0.08,0,-0.232611266,,
2449,0.06,0,-0.066692795,,
603668,0.05,0,-0.252944195,,
2092,0.04,0,-0.155717411,,
2048,0.03,0,-0.172547362,,
2223,0.03,0,0.038241319,,
90,0.02,0,-0.138810071,,
2635,0.02,0,-0.44160489,,
601666,0.01,0,-0.127802739,,
603005,0.01,0,0.002692103,,
426,0,0,-0.035736153,,
507,0,0,-0.109204528,,
528,0,0,0.056406547,,
717,0,0,0.034363771,,
983,0,0,-0.123032514,,
2024,0,0,0.083198024,,
2045,0,0,-0.224929933,,
2068,0,0,-0.154251406,,
600029,0,0,0.257184018,,
600171,0,0,0.11527733,,
600231,0,0,-0.122826495,,
600282,0,0,-0.035272802,,
600346,0,0,0.651201693,,
600362,0,0,0.00240166,,
600567,0,0,-0.011024361,,
600569,0,0,0.07784867,,
600596,0,0,0.33258547,,
600708,0,0,-0.004425023,,
600711,0,0,0.182088578,,
601003,0,0,0.382609019,,
915,0.34,0.01,-0.236209492,,
300463,0.14,0.01,-0.027593276,,
600308,0,0.01,-0.081874859,,
600348,0,0.01,-0.019192372,,
776,0.26,0.02,-0.077163212,,
2028,0.12,0.02,0.034938179,,
603959,0.18,0.03,0.272800752,,
2557,0.02,0.03,0.087070616,,
2334,0,0.03,-0.047760343,,
2313,0,0.04,0.195239866,,
300130,0,0.04,0.22455384,,
300599,0,0.04,-0.210500484,,
600333,0,0.04,-0.103910296,,
600845,0,0.04,0.451128816,,
601678,0,0.04,0.077898933,,
300216,0.58,0.05,-0.52711442,,
932,1,0.06,0.208438829,,
988,0,0.06,-0.046171528,,
300338,0,0.06,-0.129629902,,
600138,0,0.06,0.080476138,,
300258,0.04,0.07,-0.102691964,,
600270,0,0.07,0.051700269,,
600020,0,0.08,-0.12410568,,
600141,0,0.08,-0.047105471,,
600271,0,0.08,0.169786802,,
600338,0.27,0.09,-0.237088719,,
40,0,0.09,-0.110916417,,
818,0,0.09,0.138731439,,
2362,0,0.09,-0.114365415,,
581,0,0.1,-0.064605657,,
2534,0,0.1,-0.184198676,,
600499,0,0.1,-0.083661123,,
300059,0.48,0.11,0.180087918,,
933,0,0.11,-0.271943435,,
600256,0,0.11,0.095876911,,
603988,0,0.11,-0.239742178,,
2706,0,0.12,-0.081767686,,
300353,0,0.12,0.042646865,,
2603,0.18,0.13,-0.087691864,,
300166,0.16,0.14,0.070635889,,
300087,0,0.14,-0.034404593,,
300232,0,0.14,0.03625557,,
600195,0,0.14,0.095629946,,
603338,0.2,0.15,0.072812003,,
601818,0.11,0.15,0.023647008,,
990,0,0.15,-0.120906655,,
2411,0,0.15,0.022441832,,
300479,0,0.15,-0.241284635,,
300064,0,0.16,-0.177020949,,
600010,0,0.16,-0.153222598,,
300074,0.04,0.17,0.064371838,,
600987,0,0.17,-0.143442922,,
2517,0.48,0.18,-0.049481976,,
300144,0.08,0.18,0.018117754,,
2536,0,0.18,-0.088153864,,
603955,0.14,0.19,-0.119449978,,
600764,0,0.19,-0.196549329,,
300285,0.07,0.2,0.047254135,,
601000,0,0.2,-0.059124045,,
601228,0,0.2,-0.167718452,,
2370,0.06,0.21,0.13951885,,
2009,0,0.21,0.077202272,,
2281,0,0.21,0.143312273,,
2408,0,0.21,0.115380362,,
2775,0,0.21,-0.103577929,,
601668,0,0.21,-0.081037646,,
600535,0,0.22,0.069132211,,
600599,0,0.22,-0.161850909,,
601998,0,0.22,0.054120914,,
603035,0,0.22,-0.250090171,,
2121,0,0.23,-0.091068098,,
